SKU,型号P/N,一级分类,分类路径,商品标题,单价USD,销量原文,销量(数值),评论数,标签(热门/新品),库存状态,可选配置,特性标签,主图URL,商品页URL,抓取日期,来源分类页
201303,IES5120-48T4S,Switches,Switches > Industrial Ethernet Switches,"IES5120-48T4S, 48 x 1Gb RJ45, 4 x 1/10Gb SFP+, L2+ Managed Industrial Switch",1169.0,130 Sold,130,,,,,Marvell | L2+ | IP40 | PROFINET | MRP,https://resource.fs.com/mall/mainImg/800x800/202508191655484a3v8f.jpg,https://www.fs.com/products/201303.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
108697,PSU-150W-AC-S5860,Switches,Switches > Enterprise Switches,"Hot-swappable AC Power Module 150W, for S5860-20SQ, S5810-48FS",289.0,127 Sold,127,3,,,,150W | 90-264VAC | Redundant,https://resource.fs.com/mall/products/800x800/108697.main.jpg,https://www.fs.com/products/108697.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
329359,S3260-8MU,Switches,Switches > SME Switches,"S3260-8MU, 8 x 2.5Gb RJ45, 4 x 10Gb SFP+, L2+ Managed PoE++ Switch",479.0,118 Sold,118,,,,,Realtek | 8 x PoE++ | 240W | Multi-Gig | OSPF | LACP,https://resource.fs.com/mall/mainImg/800x800/202606231818321zeh1h.jpg,https://www.fs.com/products/329359.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
110482,NC8200-4TD,Switches,Switches > Data Center Switches,"NC8200-4TD, 4-Slot Data Center Chassis Switch Unloaded",9919.0,117 Sold,117,28,,,,TD3-X7 | EVPN-VXLAN | Stacking | MLAG,https://resource.fs.com/mall/mainImg/20250416155710j24paq.jpg,https://www.fs.com/products/110482.html,2026-09-02,https://www.fs.com/c/data-center-switches-3404
110483,NC8200-8C,Switches,Switches > Data Center Switches,"NC8200-8C, 8 x 100Gb QSFP28 Line Card for Chassis Switch NC8200-4TD",1649.0,117 Sold,117,28,,,,TD3-X7 | EVPN-VXLAN | Stacking | MLAG,https://resource.fs.com/mall/products/800x800/110483.main.jpg,https://www.fs.com/products/110483.html,2026-09-02,https://www.fs.com/c/data-center-switches-3404
329361,S3260-10S,Switches,Switches > SME Switches,"S3260-10S, 10 x 10Gb SFP+, 2 x 1Gb RJ45, L3 Managed Switch",919.0,113 Sold,113,,,,,Realtek | 10G Uplink | Stacking | VLAN | LACP,https://resource.fs.com/mall/mainImg/202506251011373ctqp8.jpg,https://www.fs.com/products/329361.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
201285,IES2100-5FE,Switches,Switches > Industrial Ethernet Switches,"IES2100-5FE, 5 x 10/100M RJ45, L2 Unmanaged Industrial Switch",129.0,112 Sold,112,,,,,Realtek | L2 | IP41 | Unmanaged,https://resource.fs.com/mall/mainImg/800x800/20250807121231ebwzr4.jpg,https://www.fs.com/products/201285.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
162631,PSU-150W-DC-S5860,Switches,Switches > Enterprise Switches,"Hot-swappable DC Power Module 150W, for S5860-20SQ, S5810-48FS",359.0,104 Sold,104,2,,,,150W | -48V to -60VDC | Redundant,https://resource.fs.com/mall/mainImg/20230717110130kge8th.jpg,https://www.fs.com/products/162631.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
176343,IES5110-20FMS,Switches,Switches > Industrial Ethernet Switches,"IES5110-20FMS, 10 x 1Gb SFP, 10 x 1/2.5Gb SFP, 4 x 1Gb Combo, 4 x 10Gb SFP+, L2+ Managed Industrial Switch",1019.0,97 Sold,97,1,,,,L2+ | IP30 | ERPS,https://resource.fs.com/mall/mainImg/20230825111559f45xct.jpg,https://www.fs.com/products/176343.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
206581,N5680-32D,Switches,Switches > PicOS® Data Center Switches,"N5680-32D, 32 x 400Gb QSFP-DD, PicOS®, Data Center Switch",19299.0,72 Sold,72,3,,,,TH3 | RoCEv2 | DLB | Spine/Leaf,https://resource.fs.com/mall/mainImg/800x800/202603301430523f3i6l.jpg,https://www.fs.com/products/206581.html,2026-09-02,https://www.fs.com/c/picos-data-center-switches-5125
207993,N5570-48X6C,Switches,Switches > PicOS® Data Center Switches,"N5570-48X6C, 48 x 10Gb RJ45, 6 x 100Gb QSFP28, PicOS®, Data Center Switch",7349.0,70 Sold,70,5,,,,TD3-X5 | EVPN-VXLAN | MLAG | EVPN Multihoming,https://resource.fs.com/mall/mainImg/800x800/20260507145715fko6sj.jpg,https://www.fs.com/products/207993.html,2026-09-02,https://www.fs.com/c/picos-data-center-switches-5125
207991,N5570-48S6C,Switches,Switches > PicOS® Data Center Switches,"N5570-48S6C, 48 x 10Gb SFP+, 6 x 100Gb QSFP28, PicOS®, Data Center Switch",4999.0,69 Sold,69,,,,,TD3-X5 | EVPN-VXLAN | MLAG | EVPN Multihoming,https://resource.fs.com/mall/mainImg/20250410115854rfpn4r.jpg,https://www.fs.com/products/207991.html,2026-09-02,https://www.fs.com/c/picos-data-center-switches-5125
324605,IES5200W-8U2F2SD,Switches,Switches > Industrial Ethernet Switches,"IES5200W-8U2F2SD, 8 x 1Gb RJ45, 2 x 1/2.5Gb SFP, 2 x 10Gb SFP+, L3 Managed Industrial PoE++ Switch",1089.0,62 Sold,62,,,,,L3 PoE++ | IP30 | PTP | ERPS,https://resource.fs.com/mall/mainImg/800x800/202508281840089a7yco.jpg,https://www.fs.com/products/324605.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
166610,S3270-48TM,Switches,Switches > Enterprise Switches,"S3270-48TM, 48 x 1Gb RJ45, 4 x 1/2.5Gb SFP, L2+ Managed Switch",511.0,59 Sold,59,1,,,,BCM53547 | L2+ | OSPF | 1G RJ45 | Airware Cloud,https://resource.fs.com/mall/mainImg/20230413095349dshhl5.jpg,https://www.fs.com/products/166610.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
166597,PSU-800W-DC,Switches,Switches > Data Center Switches,"Hot-swappable DC Power Module 800W, for N5860-48SC, N8560-48BC, N8560-32C",709.0,52 Sold,52,4,,,,800W | -36V to -72VDC | Hot-swappable | Redundant,https://resource.fs.com/mall/mainImg/20230323151339u8grac.jpg,https://www.fs.com/products/166597.html,2026-09-02,https://www.fs.com/c/data-center-switches-3404
152270,T5850-24S2C,Switches,Switches > Data Center Switches,"T5850-24S2C, 24 x 10Gb SFP+, 2 x 100Gb QSFP28, Rack-level Visibility and Monitoring",6719.0,52 Sold,52,6,,,,HD 440G | 440 Gbps | 540Mpps | 660ns Latency,https://resource.fs.com/mall/products/800x800/152270.main.jpeg,https://www.fs.com/products/152270.html,2026-09-02,https://www.fs.com/c/data-center-switches-3404
194710,MQM9700-NS2F,Switches,Switches > Data Center Switches,"MQM9700-NS2F, 64 x NDR 400G, 32 x 800G OSFP Ports, 800G InfiniBand Data Center Switch,",38400.0,51 Sold,51,3,,,,Infiniband Network | Spine | Quantum™-2 | Managed | VL2VL,https://resource.fs.com/mall/mainImg/20231212184452d1eq1m.jpg,https://www.fs.com/products/194710.html,2026-09-02,https://www.fs.com/c/data-center-switches-3404
108709,SG-5110,Switches,Switches > Enterprise Switches (Routers&Firewalls),"SG-5110, Multi-WAN Security Gateway, 8 Gigabit RJ45 Ports, 1x SFP, 1x SFP+",2136.0,49 Sold,49,22,,,,Load Balancing | Secure VPN | 1500 Users,https://resource.fs.com/mall/mainImg/20221022103520rmqf2m.jpg,https://www.fs.com/products/108709.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
108700,PSU-70W-AC,Switches,Switches > Enterprise Switches,"Hot-swappable AC Power Module 70W, for S3910-24TS, S3910-48TS",189.0,48 Sold,48,1,,,,70W | 90-290VAC | Hot-swappable | Redundant,https://resource.fs.com/mall/mainImg/20221129174857ailqad.jpg,https://www.fs.com/products/108700.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
331201,S3240C-24P,Switches,Switches > SME Switches,"S3240C-24P, 24 x 1Gb RJ45, 4 x 10Gb SFP+, L2+ Managed PoE+ Switch",769.0,46 Sold,46,,,,,Realtek | 24 x PoE+ | 380W | Compact | OSPF | Voice VLAN,https://resource.fs.com/mall/mainImg/800x800/20250715113453khb70g.jpg,https://www.fs.com/products/331201.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
201305,IES5220-6S-3ES,Switches,Switches > Industrial Ethernet Switches,"IES5220-6S-3ES, 6 x 1/10Gb SFP+, L3 Managed Industrial Modular Switch with 3-Slot",1699.0,46 Sold,46,,,,,Marvell | L3 | IP40 | PROFINET | MRP,https://resource.fs.com/mall/mainImg/20240207152347z66lb8.jpg,https://www.fs.com/products/201305.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
216303,IES5220-6S-3ES (Customized),Switches,Switches > Industrial Ethernet Switches,"Customized IES5220-6S-3ES, 6 x 1/10Gb SFP+, L3 Managed Industrial Modular Switch with 3-Slot",1699.0,46 Sold,46,,,,,Marvell | L3 | IP40 | PROFINET | MRP,https://resource.fs.com/mall/mainImg/20240207152347z66lb8.jpg,https://www.fs.com/products/216303.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
383637,N5580-32CB,Switches,Switches > PicOS® Data Center Switches,"N5580-32CB, 32 x 100Gb QSFP28, PicOS®, Data Center Switch",7419.0,43 Sold,43,,,,,TD3-X7 | EVPN-VXLAN | MLAG | EVPN Multihoming,https://resource.fs.com/mall/mainImg/800x800/20260303164101bzillk.jpg,https://www.fs.com/products/383637.html,2026-09-02,https://www.fs.com/c/picos-data-center-switches-5125
321549,N8510-24CD8D,Switches,Switches > PicOS® Data Center Switches,"N8510-24CD8D, 24 x 200Gb QSFP56, 8 x 400Gb QSFP-DD, PicOS®, Data Center Switch",12400.0,43 Sold,43,,,,,TD4-X9 | EVPN-VXLAN | MLAG | RoCEv2,https://resource.fs.com/mall/mainImg/800x800/20250723103656gi7sjb.jpg,https://www.fs.com/products/321549.html,2026-09-02,https://www.fs.com/c/picos-data-center-switches-5125
